iso3,year,value
MLI,2022,7.522833
MLI,2023,8.8
MMR,2018,0.863
MMR,2019,0.941
MMR,2020,0.986
MMR,2021,3.7
MMR,2022,14.41
MMR,2023,17.619805
MNG,2023,0.213
MOZ,2018,2.1
MOZ,2019,3.28
MOZ,2020,0
MOZ,2021,4.11
MOZ,2022,2.49
MOZ,2023,2.3
MRT,2018,0.83
MRT,2019,0.28
MRT,2020,0.06
MRT,2021,0.09
MRT,2022,0.1
MRT,2023,0.1
MWI,2019,3.31
MWI,2020,2.62
MWI,2021,2.64
MWI,2022,4.5
MWI,2023,4.847562
MYS,2021,0.18
MYS,2022,0.19
MYS,2023,0.18
NAM,2018,0.3
NAM,2020,0.44
NAM,2021,0.75
NAM,2022,0.75
NAM,2023,0.75
NER,2018,2.449484
NER,2019,2.3
NER,2020,3.7
NER,2021,3.821659
NER,2022,3.82
NER,2023,4.3
NGA,2018,7.7
NGA,2019,9.86
NGA,2020,10.6
NGA,2021,16.37
NGA,2022,19.16
NGA,2023,19.16
NIC,2019,0.3
NPL,2018,4.6
NPL,2019,0.13
NPL,2021,4.9
PAK,2018,3.2
PAK,2019,7.9
PAK,2020,0
PAK,2021,11
PAK,2022,23.6
PAK,2023,20.6
PAN,2019,0
PAN,2022,0.09
PAN,2023,0.07
PER,2018,0.32
PER,2019,0.73
PER,2020,0.89
PER,2021,1.31
PER,2022,1.7
PER,2023,1.7
PHL,2018,0.898339
PHL,2019,0.4
PHL,2020,0
PHL,2021,2.52
PHL,2022,2.7
PHL,2023,0.23
PNG,2018,0.27
PNG,2019,0
PNG,2022,0.27
PNG,2023,0.26
POL,2022,7.58
POL,2023,1.56
PRK,2018,10.3
PRK,2019,10.9
PRK,2020,10.9
PRK,2021,10.43
PRK,2022,10.43
PRK,2023,10.43
PSE,2018,2.5
PSE,2019,2.5
PSE,2020,2.5
PSE,2021,3.81
PSE,2022,2.36
PSE,2023,2.1
ROU,2022,1.56
ROU,2023,0.11
RWA,2018,0.235
RWA,2019,0.15
RWA,2020,0.15
RWA,2021,0.14
RWA,2022,0.14
RWA,2023,0.13
SDN,2018,7.1
SDN,2019,8.5
SDN,2020,12.2
SDN,2021,14.3
SDN,2022,15.8
SDN,2023,15.8
SEN,2018,1.046883
SEN,2019,0.38
SEN,2020,0.51
SEN,2021,0.51
SEN,2022,0.88
SEN,2023,0.88
SLE,2018,0.012
SLV,2019,0.3
SLV,2020,0.64
SLV,2021,1.7
SLV,2022,1.7
SLV,2023,1.7
SOM,2018,5.4
SOM,2019,5.4
SOM,2020,5.3
SOM,2021,7.74
SOM,2022,7.846888
SOM,2023,8.250301
SSD,2018,7
SSD,2019,7.26
SSD,2020,7.5
SSD,2021,8.310533
SSD,2022,12.52
SSD,2023,12.52
SVK,2022,0.95
SVK,2023,0.11
SWZ,2018,0.177
SWZ,2020,0.37
SWZ,2021,0.37
SWZ,2022,0.34
SWZ,2023,0.26
SYR,2018,13.1
SYR,2019,11.71
SYR,2020,11.71
SYR,2021,13.4
SYR,2022,14.560823
SYR,2023,15.334271
TCD,2018,4.859413
TCD,2019,4.269261
TCD,2020,6.4
TCD,2021,6.4
TCD,2022,6.4
TCD,2023,6.9
TGO,2018,0.00851
TGO,2020,0
THA,2018,0.105959
THA,2020,0.09
THA,2021,0.09
THA,2022,0.09
THA,2023,0.09
TLS,2021,0.01
TTO,2019,0.06
TTO,2020,0.06
TTO,2021,0.06
TTO,2022,0.06
TTO,2023,0.04
TUN,2022,0.01
TUN,2023,0.01
TUR,2018,11.14138
TUR,2019,2.73
TUR,2020,2.66
TUR,2021,2.42
TUR,2022,2.43
TUR,2023,9.1
TZA,2018,0.330755
TZA,2019,0.29
TZA,2020,0
TZA,2021,0.29
TZA,2022,0.85
TZA,2023,1.36
UGA,2018,2.3
UGA,2019,1.69
UGA,2020,0
UGA,2021,1.53
UGA,2022,2.26
UGA,2023,2.28
UKR,2018,3.4
UKR,2019,3.5
UKR,2020,3.5
UKR,2021,3.4
UKR,2022,17.7
UKR,2023,17.6
VCT,2021,0.01
VEN,2019,14.92
VEN,2020,14.32
VEN,2021,14.8
VEN,2022,18.52
VEN,2023,18.52
VNM,2020,0.18
VNM,2021,1
VUT,2020,0.12
VUT,2021,0.12
VUT,2023,0.15
YEM,2018,22.2
YEM,2019,24.16
YEM,2020,24.3
YEM,2021,24.16
YEM,2022,23.458603
YEM,2023,23.4
ZMB,2018,1.2
ZMB,2019,2.28
ZMB,2020,0
ZMB,2021,1.68
ZMB,2022,1.95
ZMB,2023,1.95
ZWE,2018,2.4
ZWE,2019,5.57
ZWE,2020,7.481602
ZWE,2021,7
ZWE,2022,7
ZWE,2023,7
