Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
NCAR,SSP1,ABW,Population|Urban|Share,%,44.2488788624483,52.5192994000393,57.6709567033457,62.2821172754979,66.3589699802772,69.9377226201942,73.0686306888382,75.805723148842,78.2010363390246,80.3018521746727,82.1497232962596,83.7804617854772,85.2245896360884,86.5079675583467,87.6524531645293,88.6765171952554,89.5957889429523,90.4235240431109,91.1709983645909,
NCAR,SSP2,ABW,Population|Urban|Share,%,46.872,50.2805913775145,53.4523653577184,56.3810985389432,59.070516840164,61.5310249832974,63.7770452930331,65.8250240231774,67.6920365157181,69.3948732655289,70.9494846932055,72.370678928425,73.671989696498,74.8656532569472,75.9626514510311,76.9727917513171,77.904805241744,78.7664504696759,79.5646158717349,
NCAR,SSP3,ABW,Population|Urban|Share,%,46.872,48.4833107078224,49.8584077506368,51.0295419280085,52.0258762163464,52.8731021851409,53.5934866999877,54.2061322612745,54.7273241310286,55.1708945630535,55.5485687938722,55.8702771335413,56.1444282484713,56.3781442537434,56.5774608008138,56.7474963034459,56.892594565715,57.0164447963456,57.1221825506423,
NCAR,SSP4,ABW,Population|Urban|Share,%,46.872,50.2805913775145,53.4523653577184,56.3810985389432,59.070516840164,61.5310249832974,63.7770452930331,65.8250240231774,67.6920365157181,69.3948732655289,70.9494846932055,72.370678928425,73.671989696498,74.8656532569472,75.9626514510311,76.9727917513171,77.904805241744,78.7664504696759,79.5646158717349,
NCAR,SSP5,ABW,Population|Urban|Share,%,44.2488788624483,52.5192994000393,57.6709567033457,62.2821172754979,66.3589699802772,69.9377226201942,73.0686306888382,75.805723148842,78.2010363390246,80.3018521746727,82.1497232962596,83.7804617854772,85.2245896360884,86.5079675583467,87.6524531645293,88.6765171952554,89.5957889429523,90.4235240431109,91.1709983645909,
NCAR,SSP1,AFG,Population|Urban|Share,%,22.6,26.830062399966,31.3297227614851,35.9832811428515,40.6700899107331,45.2787490892927,49.7175077353868,53.9193167195359,57.8419542911799,61.4648132224016,64.7841394553594,67.8081026595543,70.5524951346012,73.037367973146,75.2846076880883,77.3163103470847,79.1537679726637,80.8168935497746,82.3239434288004,
NCAR,SSP2,AFG,Population|Urban|Share,%,22.6,25.041717352149,27.5753851628594,30.1769592521778,32.821167102329,35.4827010496351,38.1373255259483,40.7627995708096,43.3395530568767,45.8510958639896,48.2841748674779,50.6287186470889,52.8776226877584,55.0264299891472,57.0729565317944,59.0169013970295,60.8594703943672,62.6030317889207,64.2508142083481,
NCAR,SSP3,AFG,Population|Urban|Share,%,22.6,23.6668701301579,24.7362389581871,25.8048456988425,26.8695526826737,27.9273809053685,28.9755396000647,30.0114495083372,31.0327598143968,32.0373589593156,33.0233797573833,33.9891993899655,34.9334349532737,35.8549352889043,36.7527698362022,37.6262152213455,38.4747402479801,39.29798988644,40.0957687804464,
NCAR,SSP4,AFG,Population|Urban|Share,%,22.6,26.830062399966,31.3297227614851,35.9832811428515,40.6700899107331,45.2787490892927,49.7175077353868,53.9193167195359,57.8419542911799,61.4648132224016,64.7841394553594,67.8081026595543,70.5524951346012,73.037367973146,75.2846076880883,77.3163103470847,79.1537679726637,80.8168935497746,82.3239434288004,
NCAR,SSP5,AFG,Population|Urban|Share,%,22.6,26.830062399966,31.3297227614851,35.9832811428515,40.6700899107331,45.2787490892927,49.7175077353868,53.9193167195359,57.8419542911799,61.4648132224016,64.7841394553594,67.8081026595543,70.5524951346012,73.037367973146,75.2846076880883,77.3163103470847,79.1537679726637,80.8168935497746,82.3239434288004,
